1999,column_2,column_3,column_4,column_5
,Monthly Release,Monthly Supplement,Annual Revision,Text Data File Downloads
December 15,HTML | PDF | ASCII,,,
November 30,,,HTML | PDF | ASCII,
November 16,HTML | PDF | ASCII,,,
October 15,HTML | PDF | ASCII,,,
September 16,HTML | PDF | ASCII,,,
August 17,HTML | PDF | ASCII,,,
July 16,HTML | PDF | ASCII,,,
June 16,HTML | PDF | ASCII,,,
May 14,HTML | PDF | ASCII,,,
April 16,HTML | PDF | ASCII,,,
March 16,HTML | PDF | ASCII,,,
February 17,HTML | PDF | ASCII,,,
January 15,HTML | PDF | ASCII,,,
