2021,column_2,column_3,column_4,column_5
,Monthly Release,Monthly Supplement,Annual Revision,Text Data File Downloads
December 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
November 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
October 18,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
September 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
August 17,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
July 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
June 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
May 28,,,HTML | PDF | ASCII,Data and Documentation
May 14,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
April 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
March 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
February 17,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
January 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
